Data,T1,T2,T3,T4,F1,F2,Amostra
26/10/2022 16:44:43321600,310.2136,301.4052,299.0384,298.2332,285.764795,273.15,acq500
26/10/2022 16:44:44335600,310.2868,301.3808,299.1848,298.2332,281.136195,273.15,acq500
26/10/2022 16:44:45334000,310.238,301.21,299.1116,298.3064,283.913355,273.15,acq500
26/10/2022 16:44:46394800,310.2624,301.088,298.9896,298.2576,284.839075,273.15,acq500
26/10/2022 16:44:47330800,310.116,301.088,299.0384,298.2576,285.764795,273.15,acq500
26/10/2022 16:44:48329200,310.116,300.9416,299.1116,298.1844,287.616235,273.15,acq500
26/10/2022 16:44:49390000,310.116,300.844,298.9408,298.2332,288.541955,273.15,acq500
26/10/2022 16:44:55333600,309.628,300.2828,299.136,298.1844,285.764795,273.15,acq500
26/10/2022 16:44:56363200,309.6524,300.1364,299.0628,298.1844,285.764795,273.15,acq500
26/10/2022 16:45:02416000,309.994,299.746,299.1604,298.2332,284.839075,273.15,acq500
26/10/2022 16:45:08406400,309.872,299.4532,299.1848,298.3064,288.541955,273.15,acq500
26/10/2022 16:45:09436000,309.8964,299.4044,299.1848,298.2088,287.616235,273.15,acq500
26/10/2022 16:45:15410800,309.8964,299.2092,299.2336,298.2576,285.764795,273.15,acq500
26/10/2022 16:45:16440400,309.8964,299.136,299.1604,298.2088,285.764795,273.15,acq500
26/10/2022 16:45:17423200,309.8232,299.136,299.1116,298.2576,285.764795,273.15,acq500
26/10/2022 16:45:23413600,309.872,299.0384,299.1604,298.2332,289.467675,273.15,acq500
26/10/2022 16:45:24443200,309.8964,299.0384,299.2336,298.2332,287.616235,273.15,acq500
26/10/2022 16:45:25426000,309.872,299.0384,299.2336,298.2332,285.764795,273.15,acq500
26/10/2022 16:45:31432000,309.8232,298.7212,299.5264,298.2576,294.096275,325.15,acq500
26/10/2022 16:45:32446000,309.7988,298.77,299.7216,298.2332,297.799155,326.15,acq500
26/10/2022 16:45:43444000,309.4572,299.0872,301.3076,297.9648,326.496475,657.15,acq500
26/10/2022 16:45:49450000,309.2376,299.7948,301.6248,298.1112,348.713755,783.15,acq500
26/10/2022 16:45:50464000,309.1156,299.7704,301.5516,298.1112,354.268075,804.15,acq500
26/10/2022 16:46:01462000,309.2864,300.0876,301.4784,298.0868,391.296875,1108.15,acq500
26/10/2022 16:46:07468000,309.9452,300.6244,301.7468,298.1356,407.959835,1182.15,acq500
26/10/2022 16:46:08482000,310.116,300.8684,301.8444,298.0868,411.662715,1199.15,acq500
26/10/2022 16:46:19480000,310.4088,302.0884,302.3324,297.672,441.285755,1265.15,acq500
26/10/2022 16:46:25486000,310.6284,302.4788,302.4544,297.6232,453.320115,1290.15,acq500
26/10/2022 16:46:26500000,310.5308,302.3812,302.6008,297.6232,457.948715,1287.15,acq500
26/10/2022 16:46:37498000,310.5308,303.0888,302.6008,297.6232,464.428755,1317.15,acq500
26/10/2022 16:46:43504000,310.5796,302.9424,302.6008,297.5988,471.834515,1327.15,acq500
26/10/2022 16:46:44518000,310.6284,302.9912,302.5764,297.6476,473.685955,1327.15,acq500
26/10/2022 16:46:55516000,310.6528,302.9668,302.6984,297.6232,488.497475,1335.15,acq500
26/10/2022 16:47:01522000,310.6284,303.0644,302.6984,297.5988,491.274635,1345.15,acq500
26/10/2022 16:47:02536000,310.6284,302.9912,302.7716,297.5988,490.348915,1345.15,acq500
26/10/2022 16:47:13534000,310.7504,303.04,302.918,297.5256,497.754675,1347.15,acq500
26/10/2022 16:47:19540000,310.726,302.9912,302.918,297.4768,499.606115,1351.15,acq500
26/10/2022 16:47:20554000,310.7504,303.04,302.918,297.428,501.457555,1349.15,acq500
26/10/2022 16:47:31552000,310.8236,303.0644,303.0156,297.4768,509.789035,1354.15,acq500
26/10/2022 16:47:37558000,310.8968,302.8936,303.1376,297.4768,511.640475,1349.15,acq500
26/10/2022 16:47:38572000,310.8236,303.162,303.04,297.3792,514.417635,1351.15,acq500
26/10/2022 16:47:49570000,310.9456,303.162,303.2596,297.428,516.269075,1347.15,acq500
26/10/2022 16:47:55576000,310.8236,302.7472,303.2108,297.4036,515.343355,1347.15,acq500
26/10/2022 16:47:56590000,310.848,302.7472,303.1864,297.4036,515.343355,1344.15,acq500
26/10/2022 16:48:07619200,310.8968,302.8936,303.2108,297.4768,518.120515,1332.15,acq500
26/10/2022 16:48:13625200,310.8724,302.7716,303.284,297.4768,518.120515,1315.15,acq500
26/10/2022 16:48:14639200,310.8968,302.8204,303.3084,297.4768,519.971955,1319.15,acq500
26/10/2022 16:48:25637200,310.8724,303.04,303.284,297.4768,520.897675,1302.15,acq500
26/10/2022 16:48:31643200,310.848,302.9912,303.5036,297.4036,523.674835,1281.15,acq500
26/10/2022 16:48:32657200,310.8968,302.9912,303.5036,297.4036,519.046235,1279.15,acq500
26/10/2022 16:48:43655200,310.8724,303.284,303.6256,297.4036,525.526275,1230.15,acq500
26/10/2022 16:48:49661200,310.9456,303.1132,303.772,297.428,523.674835,1160.15,acq500
26/10/2022 16:48:50690800,310.8968,303.1132,303.8696,297.4036,520.897675,1151.15,acq500
26/10/2022 16:49:01673200,310.9456,303.5768,304.6016,297.4036,525.526275,903.15,acq500
26/10/2022 16:49:07679200,310.848,303.7964,305.5044,297.4036,519.971955,737.15,acq500
26/10/2022 16:49:08708800,310.8236,303.9916,305.724,297.306,524.600555,685.15,acq500
26/10/2022 16:49:19691200,310.848,307.2612,306.212,297.428,523.674835,273.15,acq500
26/10/2022 16:49:25697200,310.848,309.2376,306.09,297.3548,525.526275,273.15,acq500
26/10/2022 16:49:26726800,310.848,309.4816,306.1144,297.4036,527.377715,273.15,acq500
26/10/2022 16:49:37709200,310.848,310.6528,306.09,297.4036,522.749115,273.15,acq500
26/10/2022 16:49:43715200,310.7504,310.8236,306.0168,297.4036,525.526275,273.15,acq500
26/10/2022 16:49:44744800,310.8236,310.8724,305.8704,297.4036,525.526275,273.15,acq500
26/10/2022 16:49:55727200,310.8724,311.0188,305.724,297.4036,523.674835,273.15,acq500
26/10/2022 16:50:01733200,310.8724,311.0432,305.6752,297.3548,519.046235,273.15,acq500
26/10/2022 16:50:02762800,310.8236,310.9944,305.6752,297.4036,520.897675,273.15,acq500
26/10/2022 16:50:13760800,310.8968,311.1652,305.48,297.3548,516.269075,273.15,acq500
26/10/2022 16:50:19766800,310.8968,311.1652,308.4812,297.3792,518.120515,300.15,acq500
26/10/2022 16:50:20780800,310.9456,311.1896,308.6276,297.3792,519.971955,283.15,acq500
26/10/2022 16:50:31778800,311.0432,308.774,309.7988,297.0864,514.417635,724.15,acq500
26/10/2022 16:50:37784800,310.8968,305.7728,307.8956,297.2572,513.491915,823.15,acq500
26/10/2022 16:50:38798800,310.9944,305.4556,307.6028,297.4036,513.491915,871.15,acq500
26/10/2022 16:50:49796800,310.8724,303.284,305.0896,297.2572,508.863315,1116.15,acq500
26/10/2022 16:50:55802800,310.9456,303.1864,304.3088,297.2572,501.457555,1205.15,acq500
26/10/2022 16:50:56816800,310.8968,302.9668,304.2112,297.2572,501.457555,1212.15,acq500
26/10/2022 16:51:07814800,310.9944,303.1132,303.6256,296.94,497.754675,1271.15,acq500
26/10/2022 16:51:13820800,310.9944,303.0644,303.2108,296.818,494.977515,1289.15,acq500
26/10/2022 16:51:14834800,310.8968,303.1864,303.2596,296.94,494.977515,1291.15,acq500
26/10/2022 16:51:25832800,310.8968,302.8936,302.8204,296.8912,482.943155,1312.15,acq500
26/10/2022 16:51:31838800,310.8968,302.9424,302.6984,296.818,479.240275,1322.15,acq500
26/10/2022 16:51:32852800,311.0432,302.8936,302.674,296.818,479.240275,1324.15,acq500
26/10/2022 16:51:43850800,310.9944,302.7472,302.43,296.8424,464.428755,1335.15,acq500
26/10/2022 16:51:49856800,310.8968,302.8692,302.3568,296.94,457.948715,1341.15,acq500
26/10/2022 16:51:50870800,310.9944,302.8448,302.3568,296.8424,455.171555,1341.15,acq500
26/10/2022 16:51:56861200,310.9944,302.7472,302.186,296.8424,451.468675,1342.15,acq500
26/10/2022 16:51:57937600,310.9944,302.7228,302.2104,296.8424,451.468675,1344.15,acq500
26/10/2022 16:51:58873600,310.9944,302.8204,302.186,296.818,451.468675,1345.15,acq500
26/10/2022 16:51:59872000,310.9944,302.8204,302.1128,296.818,450.542955,1350.15,acq500
26/10/2022 16:52:00932800,310.8968,302.7228,302.1128,296.94,451.468675,1352.15,acq500
26/10/2022 16:52:01868800,310.9456,302.6496,302.186,296.94,449.617235,1352.15,acq500
26/10/2022 16:52:02867200,310.8968,302.7472,302.1372,296.8424,449.617235,1352.15,acq500
26/10/2022 16:52:03881200,310.8724,302.6984,302.1372,296.94,450.542955,1349.15,acq500
26/10/2022 16:52:04879600,310.9944,302.4056,302.1372,296.9644,450.542955,1347.15,acq500
26/10/2022 16:52:05878000,310.9456,302.5032,302.1128,296.9156,451.468675,1349.15,acq500
26/10/2022 16:52:06876400,310.8724,302.5032,302.1372,296.9156,451.468675,1347.15,acq500
26/10/2022 16:52:07874800,310.848,302.4056,302.1128,296.8424,450.542955,1345.15,acq500
26/10/2022 16:52:08873200,310.9456,302.3568,302.064,296.94,450.542955,1342.15,acq500
26/10/2022 16:52:09871600,310.9456,302.4544,302.064,296.8424,449.617235,1342.15,acq500
26/10/2022 16:52:10870000,310.9456,302.6496,302.0152,296.7936,449.617235,1341.15,acq500
26/10/2022 16:52:11868400,310.9944,302.6252,302.1128,296.94,448.691515,1342.15,acq500
26/10/2022 16:52:12882400,310.9456,302.5276,302.064,296.8912,448.691515,1344.15,acq500
26/10/2022 16:52:13880800,310.9456,302.5276,302.0152,296.8912,450.542955,1347.15,acq500
26/10/2022 16:52:14879200,310.9944,302.5032,302.064,296.9156,448.691515,1346.15,acq500
26/10/2022 16:52:15877600,310.9944,302.6496,302.0152,296.7692,450.542955,1350.15,acq500
26/10/2022 16:52:16876000,310.9944,302.6984,302.0152,296.818,451.468675,1346.15,acq500
26/10/2022 16:52:17874400,310.9944,302.6984,302.064,296.8424,450.542955,1349.15,acq500
26/10/2022 16:52:18872800,310.9944,302.5276,302.0152,296.818,450.542955,1349.15,acq500
26/10/2022 16:52:19871200,310.8724,302.4056,302.0152,296.818,449.617235,1354.15,acq500
26/10/2022 16:52:20869600,310.8968,302.4056,301.9908,296.8424,448.691515,1357.15,acq500
26/10/2022 16:52:21883600,310.97,302.5032,301.9664,296.94,448.691515,1359.15,acq500
26/10/2022 16:52:22882000,310.8968,302.5276,301.9908,296.9156,448.691515,1359.15,acq500
26/10/2022 16:52:23880400,310.9456,302.4056,301.9908,296.9156,449.617235,1355.15,acq500
26/10/2022 16:52:24878800,310.8724,302.4788,301.9908,296.8424,451.468675,1352.15,acq500
26/10/2022 16:52:25877200,310.8724,302.6252,302.064,296.8424,449.617235,1355.15,acq500
26/10/2022 16:52:26875600,310.8968,302.5032,301.9908,296.8424,450.542955,1356.15,acq500
26/10/2022 16:52:27874000,310.9456,302.5032,302.064,296.9156,450.542955,1357.15,acq500
26/10/2022 16:52:28872400,310.8968,302.5276,302.0152,296.9156,448.691515,1359.15,acq500
26/10/2022 16:52:29870800,310.8968,302.5276,302.0152,296.8424,451.468675,1359.15,acq500
26/10/2022 16:52:30869200,310.8968,302.4056,302.0152,296.8424,450.542955,1360.15,acq500
26/10/2022 16:52:31883200,310.8968,302.5032,301.9908,296.8424,451.468675,1359.15,acq500
26/10/2022 16:52:32881600,310.8968,302.5032,302.064,296.8424,446.840075,1355.15,acq500
26/10/2022 16:52:33880000,310.8724,302.5032,302.064,296.8424,448.691515,1354.15,acq500
26/10/2022 16:52:34878400,310.8968,302.5032,302.064,296.8424,449.617235,1354.15,acq500
26/10/2022 16:52:35876800,310.8724,302.6984,302.0152,296.8424,446.840075,1356.15,acq500
26/10/2022 16:52:36875200,310.9456,302.6984,302.064,296.818,446.840075,1356.15,acq500
26/10/2022 16:52:37873600,310.8968,302.5032,302.0152,296.9156,446.840075,1356.15,acq500
26/10/2022 16:52:38872000,310.8968,302.5032,302.064,296.818,450.542955,1355.15,acq500
26/10/2022 16:52:39870400,310.8968,302.5276,302.0152,296.8424,451.468675,1354.15,acq500
26/10/2022 16:52:40868800,310.8968,302.5032,301.9908,296.818,450.542955,1357.15,acq500
26/10/2022 16:52:41882800,310.97,302.5032,301.9908,296.9156,451.468675,1356.15,acq500
26/10/2022 16:52:42881200,310.8724,302.5032,301.9908,296.8424,451.468675,1357.15,acq500
26/10/2022 16:52:43879600,310.9456,302.5032,301.9908,296.8424,449.617235,1357.15,acq500
26/10/2022 16:52:44878000,310.9456,302.5032,301.9908,296.8424,450.542955,1359.15,acq500
26/10/2022 16:52:45876400,310.9456,302.5276,301.8932,296.94,451.468675,1360.15,acq500
26/10/2022 16:52:46874800,310.8724,302.5032,301.9664,296.94,450.542955,1357.15,acq500
26/10/2022 16:52:47873200,310.8724,302.4056,301.9908,296.9156,450.542955,1356.15,acq500
26/10/2022 16:52:48871600,310.9456,302.5032,301.9664,296.8424,449.617235,1359.15,acq500
26/10/2022 16:52:49870000,310.8968,302.4788,301.9664,296.8424,451.468675,1359.15,acq500
26/10/2022 16:52:50884000,310.8968,302.3324,302.064,296.818,450.542955,1359.15,acq500
