Data,T1,T2,T3,T4,F1,F2,Amostra
26/10/2022 16:44:43321600,310.2136,301.4052,299.0384,298.2332,12.614795,0,acq500
26/10/2022 16:44:44335600,310.2868,301.3808,299.1848,298.2332,7.986195,0,acq500
26/10/2022 16:44:45334000,310.238,301.21,299.1116,298.3064,10.763355,0,acq500
26/10/2022 16:44:46394800,310.2624,301.088,298.9896,298.2576,11.689075,0,acq500
26/10/2022 16:44:47330800,310.116,301.088,299.0384,298.2576,12.614795,0,acq500
26/10/2022 16:44:48329200,310.116,300.9416,299.1116,298.1844,14.466235,0,acq500
26/10/2022 16:44:49390000,310.116,300.844,298.9408,298.2332,15.391955,0,acq500
26/10/2022 16:44:55333600,309.628,300.2828,299.136,298.1844,12.614795,0,acq500
26/10/2022 16:44:56363200,309.6524,300.1364,299.0628,298.1844,12.614795,0,acq500
26/10/2022 16:45:02416000,309.994,299.746,299.1604,298.2332,11.689075,0,acq500
26/10/2022 16:45:08406400,309.872,299.4532,299.1848,298.3064,15.391955,0,acq500
26/10/2022 16:45:09436000,309.8964,299.4044,299.1848,298.2088,14.466235,0,acq500
26/10/2022 16:45:15410800,309.8964,299.2092,299.2336,298.2576,12.614795,0,acq500
26/10/2022 16:45:16440400,309.8964,299.136,299.1604,298.2088,12.614795,0,acq500
26/10/2022 16:45:17423200,309.8232,299.136,299.1116,298.2576,12.614795,0,acq500
26/10/2022 16:45:23413600,309.872,299.0384,299.1604,298.2332,16.317675,0,acq500
26/10/2022 16:45:24443200,309.8964,299.0384,299.2336,298.2332,14.466235,0,acq500
26/10/2022 16:45:25426000,309.872,299.0384,299.2336,298.2332,12.614795,0,acq500
26/10/2022 16:45:31432000,309.8232,298.7212,299.5264,298.2576,20.946275,52,acq500
26/10/2022 16:45:32446000,309.7988,298.77,299.7216,298.2332,24.649155,53,acq500
26/10/2022 16:45:43444000,309.4572,299.0872,301.3076,297.9648,53.346475,384,acq500
26/10/2022 16:45:49450000,309.2376,299.7948,301.6248,298.1112,75.563755,510,acq500
26/10/2022 16:45:50464000,309.1156,299.7704,301.5516,298.1112,81.118075,531,acq500
26/10/2022 16:46:01462000,309.2864,300.0876,301.4784,298.0868,118.146875,835,acq500
26/10/2022 16:46:07468000,309.9452,300.6244,301.7468,298.1356,134.809835,909,acq500
26/10/2022 16:46:08482000,310.116,300.8684,301.8444,298.0868,138.512715,926,acq500
26/10/2022 16:46:19480000,310.4088,302.0884,302.3324,297.672,168.135755,992,acq500
26/10/2022 16:46:25486000,310.6284,302.4788,302.4544,297.6232,180.170115,1017,acq500
26/10/2022 16:46:26500000,310.5308,302.3812,302.6008,297.6232,184.798715,1014,acq500
26/10/2022 16:46:37498000,310.5308,303.0888,302.6008,297.6232,191.278755,1044,acq500
26/10/2022 16:46:43504000,310.5796,302.9424,302.6008,297.5988,198.684515,1054,acq500
26/10/2022 16:46:44518000,310.6284,302.9912,302.5764,297.6476,200.535955,1054,acq500
