Data,T1,T2,T3,T4,F1,F2,Amostra
26/10/2022 16:44:43321600,37.063600000,28.255200000,25.888400000,25.083200000,12.614795000,0.000000000,acq500
26/10/2022 16:44:44335600,37.136800000,28.230800000,26.034800000,25.083200000,7.986195000,0.000000000,acq500
26/10/2022 16:44:45334000,37.088000000,28.060000000,25.961600000,25.156400000,10.763355000,0.000000000,acq500
26/10/2022 16:44:46394800,37.112400000,27.938000000,25.839600000,25.107600000,11.689075000,0.000000000,acq500
26/10/2022 16:44:47330800,36.966000000,27.938000000,25.888400000,25.107600000,12.614795000,0.000000000,acq500
26/10/2022 16:44:48329200,36.966000000,27.791600000,25.961600000,25.034400000,14.466235000,0.000000000,acq500
26/10/2022 16:44:49390000,36.966000000,27.694000000,25.790800000,25.083200000,15.391955000,0.000000000,acq500
26/10/2022 16:44:55333600,36.478000000,27.132800000,25.986000000,25.034400000,12.614795000,0.000000000,acq500
26/10/2022 16:44:56363200,36.502400000,26.986400000,25.912800000,25.034400000,12.614795000,0.000000000,acq500
26/10/2022 16:45:02416000,36.844000000,26.596000000,26.010400000,25.083200000,11.689075000,0.000000000,acq500
26/10/2022 16:45:08406400,36.722000000,26.303200000,26.034800000,25.156400000,15.391955000,0.000000000,acq500
26/10/2022 16:45:09436000,36.746400000,26.254400000,26.034800000,25.058800000,14.466235000,0.000000000,acq500
26/10/2022 16:45:15410800,36.746400000,26.059200000,26.083600000,25.107600000,12.614795000,0.000000000,acq500
26/10/2022 16:45:16440400,36.746400000,25.986000000,26.010400000,25.058800000,12.614795000,0.000000000,acq500
26/10/2022 16:45:17423200,36.673200000,25.986000000,25.961600000,25.107600000,12.614795000,0.000000000,acq500
26/10/2022 16:45:23413600,36.722000000,25.888400000,26.010400000,25.083200000,16.317675000,0.000000000,acq500
26/10/2022 16:45:24443200,36.746400000,25.888400000,26.083600000,25.083200000,14.466235000,0.000000000,acq500
26/10/2022 16:45:25426000,36.722000000,25.888400000,26.083600000,25.083200000,12.614795000,0.000000000,acq500
26/10/2022 16:45:31432000,36.673200000,25.571200000,26.376400000,25.107600000,20.946275000,52.000000000,acq500
26/10/2022 16:45:32446000,36.648800000,25.620000000,26.571600000,25.083200000,24.649155000,53.000000000,acq500
26/10/2022 16:45:43444000,36.307200000,25.937200000,28.157600000,24.814800000,53.346475000,384.000000000,acq500
26/10/2022 16:45:49450000,36.087600000,26.644800000,28.474800000,24.961200000,75.563755000,510.000000000,acq500
26/10/2022 16:45:50464000,35.965600000,26.620400000,28.401600000,24.961200000,81.118075000,531.000000000,acq500
26/10/2022 16:46:01462000,36.136400000,26.937600000,28.328400000,24.936800000,118.146875000,835.000000000,acq500
